ticker,rows_close,ok,source,error
DIA,5428,True,yfinance,
IJR,5428,True,yfinance,
SCHD,3715,True,yfinance,
QQQ,5428,True,yfinance,
QUAL,3279,True,yfinance,
RSP,5428,True,yfinance,
DGRO,3052,True,yfinance,
IJH,5428,True,yfinance,
IWF,5428,True,yfinance,
HDV,3856,True,yfinance,
MDY,5428,True,yfinance,
SCHB,4210,True,yfinance,
IWM,5428,True,yfinance,
MTUM,3342,True,yfinance,
SCHX,4210,True,yfinance,
SPY,5428,True,yfinance,
IVV,5428,True,yfinance,
VTI,5428,True,yfinance,
VO,5428,True,yfinance,
VB,5428,True,yfinance,
VUG,5428,True,yfinance,
VTV,5428,True,yfinance,
IWD,5428,True,yfinance,
IWN,5428,True,yfinance,
SPLV,3832,True,yfinance,
PPA,5222,True,yfinance,
SMH,5428,True,yfinance,
SOXX,5428,True,yfinance,
IGV,5428,True,yfinance,
IHI,5091,True,yfinance,
KBE,5208,True,yfinance,
HACK,2945,True,yfinance,
IYT,5428,True,yfinance,
KRE,5058,True,yfinance,
IBB,5428,True,yfinance,
ICLN,4553,True,yfinance,
ITA,5091,True,yfinance,
FDN,5057,True,yfinance,
TAN,4603,True,yfinance,
XBI,5153,True,yfinance,
XLK,5428,True,yfinance,
XLF,5428,True,yfinance,
XLE,5428,True,yfinance,
XLV,5428,True,yfinance,
XLI,5428,True,yfinance,
XLY,5428,True,yfinance,
XLP,5428,True,yfinance,
XLU,5428,True,yfinance,
XLB,5428,True,yfinance,
XRT,5058,True,yfinance,
ACWI,4615,True,yfinance,
EWL,5428,True,yfinance,
EWP,5428,True,yfinance,
EWA,5428,True,yfinance,
EWN,5428,True,yfinance,
IEFA,3460,True,yfinance,
EFA,5428,True,yfinance,
EWH,5428,True,yfinance,
EWQ,5428,True,yfinance,
EWC,5428,True,yfinance,
EWD,5428,True,yfinance,
EWJ,5428,True,yfinance,
EWG,5428,True,yfinance,
EWI,5428,True,yfinance,
EWU,5428,True,yfinance,
VEA,4784,True,yfinance,
VEU,4881,True,yfinance,
VGK,5382,True,yfinance,
EWK,5428,True,yfinance,
EWO,5428,True,yfinance,
EIRL,4081,True,yfinance,
EIS,4615,True,yfinance,
EPOL,4070,True,yfinance,
ENZL,4001,True,yfinance,
EPP,5428,True,yfinance,
EWS,5428,True,yfinance,
EWY,5428,True,yfinance,
FXI,5428,True,yfinance,
ASHR,3201,True,yfinance,
INDA,3643,True,yfinance,
VWO,5382,True,yfinance,
EWT,5428,True,yfinance,
IEMG,3460,True,yfinance,
KWEB,3269,True,yfinance,
EEM,5428,True,yfinance,
MCHI,3856,True,yfinance,
TUR,4615,True,yfinance,
AAXJ,4517,True,yfinance,
EWZ,5428,True,yfinance,
EZA,5428,True,yfinance,
EIDO,4083,True,yfinance,
EWM,5428,True,yfinance,
THD,4613,True,yfinance,
EPHE,3983,True,yfinance,
SCHE,4161,True,yfinance,
DEM,4793,True,yfinance,
DGS,4717,True,yfinance,
EPI,4637,True,yfinance,
PIN,0,False,unavailable,"RuntimeError('Yahoo chart fallback failed for PIN: [\'yfinance max: only 0 closes\', ""query1.finance.yahoo.com {\'period1\': 1104537600, \'period2\': 1785715200}: malformed ts=0 close=0 quote_keys=[] indicator_keys=[\'adjclose\', \'quote\']"", ""query1.finance.yahoo.com {\'range\': \'max\'}: malformed ts=0 close=0 quote_keys=[] indicator_keys=[\'quote\']"", ""query2.finance.yahoo.com {\'period1\': 1104537600, \'period2\': 1785715200}: malformed ts=0 close=0 quote_keys=[] indicator_keys=[\'adjclose\', \'quote\']"", ""query2.finance.yahoo.com {\'range\': \'max\'}: malformed ts=0 close=0 quote_keys=[] indicator_keys=[\'quote\']""]')"
ARGT,3876,True,yfinance,
AGG,5428,True,yfinance,
BIL,4824,True,yfinance,
EMB,4682,True,yfinance,
IEF,5428,True,yfinance,
IEI,4919,True,yfinance,
LQD,5428,True,yfinance,
BNDX,3310,True,yfinance,
HYG,4858,True,yfinance,
MUB,4753,True,yfinance,
BND,4859,True,yfinance,
JNK,4693,True,yfinance,
SCHP,4021,True,yfinance,
EDV,4656,True,yfinance,
SHY,5428,True,yfinance,
TLT,5428,True,yfinance,
TIP,5428,True,yfinance,
SHV,4919,True,yfinance,
VGSH,4196,True,yfinance,
VGIT,4196,True,yfinance,
VGLT,4169,True,yfinance,
VCIT,4196,True,yfinance,
VCSH,4196,True,yfinance,
MBB,4875,True,yfinance,
BKLN,3876,True,yfinance,
ANGL,3597,True,yfinance,
COMT,2964,True,yfinance,
GLD,5428,True,yfinance,
SLV,5096,True,yfinance,
GSG,5038,True,yfinance,
IYR,5428,True,yfinance,
PPLT,4165,True,yfinance,
CPER,3697,True,yfinance,
DBB,4923,True,yfinance,
VNQ,5428,True,yfinance,
DBC,5153,True,yfinance,
GDX,5080,True,yfinance,
PALL,4165,True,yfinance,
BNO,4066,True,yfinance,
DBA,4923,True,yfinance,
GDXJ,4204,True,yfinance,
IAU,5410,True,yfinance,
USO,5109,True,yfinance,
UNG,4853,True,yfinance,
DBO,4923,True,yfinance,
USL,4691,True,yfinance,
RWO,4576,True,yfinance,
RWX,4933,True,yfinance,
WOOD,4553,True,yfinance,
CORN,4061,True,yfinance,
URA,3956,True,yfinance,
