ticker,macro_category
DIA,C01_US_BROAD_STYLE
IJR,C01_US_BROAD_STYLE
SCHD,C01_US_BROAD_STYLE
QQQ,C01_US_BROAD_STYLE
QUAL,C01_US_BROAD_STYLE
RSP,C01_US_BROAD_STYLE
DGRO,C01_US_BROAD_STYLE
IJH,C01_US_BROAD_STYLE
IWF,C01_US_BROAD_STYLE
HDV,C01_US_BROAD_STYLE
MDY,C01_US_BROAD_STYLE
SCHB,C01_US_BROAD_STYLE
IWM,C01_US_BROAD_STYLE
MTUM,C01_US_BROAD_STYLE
SCHX,C01_US_BROAD_STYLE
SPY,C01_US_BROAD_STYLE
IVV,C01_US_BROAD_STYLE
VTI,C01_US_BROAD_STYLE
VO,C01_US_BROAD_STYLE
VB,C01_US_BROAD_STYLE
VUG,C01_US_BROAD_STYLE
VTV,C01_US_BROAD_STYLE
IWD,C01_US_BROAD_STYLE
IWN,C01_US_BROAD_STYLE
SPLV,C01_US_BROAD_STYLE
PPA,C02_US_SECTOR_THEME
SMH,C02_US_SECTOR_THEME
SOXX,C02_US_SECTOR_THEME
IGV,C02_US_SECTOR_THEME
IHI,C02_US_SECTOR_THEME
KBE,C02_US_SECTOR_THEME
HACK,C02_US_SECTOR_THEME
IYT,C02_US_SECTOR_THEME
KRE,C02_US_SECTOR_THEME
IBB,C02_US_SECTOR_THEME
ICLN,C02_US_SECTOR_THEME
ITA,C02_US_SECTOR_THEME
FDN,C02_US_SECTOR_THEME
TAN,C02_US_SECTOR_THEME
XBI,C02_US_SECTOR_THEME
XLK,C02_US_SECTOR_THEME
XLF,C02_US_SECTOR_THEME
XLE,C02_US_SECTOR_THEME
XLV,C02_US_SECTOR_THEME
XLI,C02_US_SECTOR_THEME
XLY,C02_US_SECTOR_THEME
XLP,C02_US_SECTOR_THEME
XLU,C02_US_SECTOR_THEME
XLB,C02_US_SECTOR_THEME
XRT,C02_US_SECTOR_THEME
ACWI,C03_DEVELOPED_GLOBAL
EWL,C03_DEVELOPED_GLOBAL
EWP,C03_DEVELOPED_GLOBAL
EWA,C03_DEVELOPED_GLOBAL
EWN,C03_DEVELOPED_GLOBAL
IEFA,C03_DEVELOPED_GLOBAL
EFA,C03_DEVELOPED_GLOBAL
EWH,C03_DEVELOPED_GLOBAL
EWQ,C03_DEVELOPED_GLOBAL
EWC,C03_DEVELOPED_GLOBAL
EWD,C03_DEVELOPED_GLOBAL
EWJ,C03_DEVELOPED_GLOBAL
EWG,C03_DEVELOPED_GLOBAL
EWI,C03_DEVELOPED_GLOBAL
EWU,C03_DEVELOPED_GLOBAL
VEA,C03_DEVELOPED_GLOBAL
VEU,C03_DEVELOPED_GLOBAL
VGK,C03_DEVELOPED_GLOBAL
EWK,C03_DEVELOPED_GLOBAL
EWO,C03_DEVELOPED_GLOBAL
EIRL,C03_DEVELOPED_GLOBAL
EIS,C03_DEVELOPED_GLOBAL
EPOL,C03_DEVELOPED_GLOBAL
ENZL,C03_DEVELOPED_GLOBAL
EPP,C03_DEVELOPED_GLOBAL
EWS,C04_EMERGING
EWY,C04_EMERGING
FXI,C04_EMERGING
ASHR,C04_EMERGING
INDA,C04_EMERGING
VWO,C04_EMERGING
EWT,C04_EMERGING
IEMG,C04_EMERGING
KWEB,C04_EMERGING
EEM,C04_EMERGING
MCHI,C04_EMERGING
TUR,C04_EMERGING
AAXJ,C04_EMERGING
EWZ,C04_EMERGING
EZA,C04_EMERGING
EIDO,C04_EMERGING
EWM,C04_EMERGING
THD,C04_EMERGING
EPHE,C04_EMERGING
SCHE,C04_EMERGING
