ticker,ok
DIA,True
IJR,True
SCHD,True
QQQ,True
QUAL,True
RSP,True
DGRO,True
IJH,True
IWF,True
HDV,True
MDY,True
SCHB,True
IWM,True
MTUM,True
SCHX,True
SPY,True
IVV,True
VTI,True
VO,True
VB,True
VUG,False
VTV,True
IWD,True
IWN,True
SPLV,True
PPA,True
SMH,True
SOXX,True
IGV,True
IHI,True
KBE,True
HACK,True
IYT,True
KRE,True
IBB,True
ICLN,True
ITA,True
FDN,True
TAN,True
XBI,True
XLK,True
XLF,True
XLE,True
XLV,True
XLI,True
XLY,True
XLP,True
XLU,True
XLB,True
XRT,True
ACWI,True
EWL,True
EWP,True
EWA,True
EWN,True
IEFA,True
EFA,True
EWH,True
EWQ,True
EWC,True
EWD,True
EWJ,True
EWG,True
EWI,True
EWU,True
VEA,True
VEU,True
VGK,True
EWK,True
EWO,True
EIRL,True
EIS,True
EPOL,True
ENZL,True
EPP,True
EWS,True
EWY,True
FXI,True
ASHR,True
INDA,True
VWO,True
EWT,True
IEMG,True
KWEB,True
EEM,True
MCHI,True
TUR,True
AAXJ,True
EWZ,True
EZA,True
EIDO,True
EWM,True
THD,True
EPHE,True
SCHE,True
DEM,True
DGS,True
EPI,True
PIN,False
ARGT,True
AGG,True
BIL,True
EMB,True
IEF,True
IEI,True
LQD,True
BNDX,True
HYG,True
MUB,True
BND,True
JNK,True
SCHP,True
EDV,True
SHY,True
TLT,True
TIP,True
SHV,True
VGSH,True
VGIT,True
VGLT,True
VCIT,True
VCSH,True
MBB,True
BKLN,True
ANGL,True
COMT,True
GLD,True
SLV,True
GSG,True
IYR,True
PPLT,True
CPER,True
DBB,True
VNQ,True
DBC,True
GDX,True
PALL,True
BNO,True
DBA,True
GDXJ,True
IAU,True
USO,True
UNG,True
DBO,True
USL,True
RWO,True
RWX,True
WOOD,True
CORN,True
URA,True
