basket,ticker,category
0,ACWI,C03_DEVELOPED_GLOBAL
0,BKLN,C05_BONDS_CASH_CREDIT
0,DGS,C04_EMERGING
0,EEM,C04_EMERGING
0,EMB,C05_BONDS_CASH_CREDIT
0,EPP,C03_DEVELOPED_GLOBAL
0,EWK,C03_DEVELOPED_GLOBAL
0,GDXJ,C06_REAL_ASSETS
0,GSG,C06_REAL_ASSETS
0,IVV,C01_US_BROAD_STYLE
0,KBE,C02_US_SECTOR_THEME
0,KWEB,C04_EMERGING
0,LQD,C05_BONDS_CASH_CREDIT
0,QQQ,C01_US_BROAD_STYLE
0,RWX,C06_REAL_ASSETS
0,SCHE,C04_EMERGING
0,SOXX,C02_US_SECTOR_THEME
0,SPY,C01_US_BROAD_STYLE
0,TLT,C05_BONDS_CASH_CREDIT
0,UNG,C06_REAL_ASSETS
0,VEU,C03_DEVELOPED_GLOBAL
0,VTI,C01_US_BROAD_STYLE
0,XBI,C02_US_SECTOR_THEME
0,XRT,C02_US_SECTOR_THEME
1,ACWI,C03_DEVELOPED_GLOBAL
1,AGG,C05_BONDS_CASH_CREDIT
1,ANGL,C05_BONDS_CASH_CREDIT
1,DGRO,C01_US_BROAD_STYLE
1,EIDO,C04_EMERGING
1,EPOL,C03_DEVELOPED_GLOBAL
1,EWI,C03_DEVELOPED_GLOBAL
1,EWJ,C03_DEVELOPED_GLOBAL
1,EWS,C04_EMERGING
1,GDX,C06_REAL_ASSETS
1,GSG,C06_REAL_ASSETS
1,IBB,C02_US_SECTOR_THEME
1,IEF,C05_BONDS_CASH_CREDIT
1,IEMG,C04_EMERGING
1,IHI,C02_US_SECTOR_THEME
1,KBE,C02_US_SECTOR_THEME
1,MCHI,C04_EMERGING
1,RWX,C06_REAL_ASSETS
1,SCHB,C01_US_BROAD_STYLE
1,SCHD,C01_US_BROAD_STYLE
1,SHV,C05_BONDS_CASH_CREDIT
1,USL,C06_REAL_ASSETS
1,VTI,C01_US_BROAD_STYLE
1,XLI,C02_US_SECTOR_THEME
2,ARGT,C04_EMERGING
2,BND,C05_BONDS_CASH_CREDIT
2,BNDX,C05_BONDS_CASH_CREDIT
2,BNO,C06_REAL_ASSETS
2,DBC,C06_REAL_ASSETS
2,DBO,C06_REAL_ASSETS
2,EFA,C03_DEVELOPED_GLOBAL
2,EIS,C03_DEVELOPED_GLOBAL
2,EWP,C03_DEVELOPED_GLOBAL
2,EWT,C04_EMERGING
2,EZA,C04_EMERGING
2,GLD,C06_REAL_ASSETS
2,HACK,C02_US_SECTOR_THEME
2,IHI,C02_US_SECTOR_THEME
2,ITA,C02_US_SECTOR_THEME
2,MTUM,C01_US_BROAD_STYLE
2,QUAL,C01_US_BROAD_STYLE
2,SCHB,C01_US_BROAD_STYLE
2,SCHE,C04_EMERGING
2,SCHX,C01_US_BROAD_STYLE
2,TLT,C05_BONDS_CASH_CREDIT
2,VGIT,C05_BONDS_CASH_CREDIT
2,VGK,C03_DEVELOPED_GLOBAL
2,XLU,C02_US_SECTOR_THEME
3,ACWI,C03_DEVELOPED_GLOBAL
3,ANGL,C05_BONDS_CASH_CREDIT
3,BNDX,C05_BONDS_CASH_CREDIT
3,COMT,C06_REAL_ASSETS
3,DGRO,C01_US_BROAD_STYLE
3,EPOL,C03_DEVELOPED_GLOBAL
3,EWY,C04_EMERGING
3,EWZ,C04_EMERGING
3,GDXJ,C06_REAL_ASSETS
3,IBB,C02_US_SECTOR_THEME
3,IHI,C02_US_SECTOR_THEME
3,KRE,C02_US_SECTOR_THEME
3,MCHI,C04_EMERGING
3,PPA,C02_US_SECTOR_THEME
3,QQQ,C01_US_BROAD_STYLE
3,RWX,C06_REAL_ASSETS
3,SPLV,C01_US_BROAD_STYLE
3,TUR,C04_EMERGING
3,USL,C06_REAL_ASSETS
3,VCIT,C05_BONDS_CASH_CREDIT
3,VEU,C03_DEVELOPED_GLOBAL
3,VGK,C03_DEVELOPED_GLOBAL
3,VGLT,C05_BONDS_CASH_CREDIT
3,VO,C01_US_BROAD_STYLE
4,ACWI,C03_DEVELOPED_GLOBAL
4,ANGL,C05_BONDS_CASH_CREDIT
4,BIL,C05_BONDS_CASH_CREDIT
4,BNO,C06_REAL_ASSETS
4,DBA,C06_REAL_ASSETS
4,EPHE,C04_EMERGING
4,EWC,C03_DEVELOPED_GLOBAL
4,EWK,C03_DEVELOPED_GLOBAL
4,EWT,C04_EMERGING
4,EWZ,C04_EMERGING
4,FXI,C04_EMERGING
4,HACK,C02_US_SECTOR_THEME
4,ICLN,C02_US_SECTOR_THEME
4,IEFA,C03_DEVELOPED_GLOBAL
4,IYR,C06_REAL_ASSETS
4,QUAL,C01_US_BROAD_STYLE
4,RSP,C01_US_BROAD_STYLE
4,SCHX,C01_US_BROAD_STYLE
4,SHV,C05_BONDS_CASH_CREDIT
4,VCSH,C05_BONDS_CASH_CREDIT
4,VNQ,C06_REAL_ASSETS
4,VTV,C01_US_BROAD_STYLE
4,XLF,C02_US_SECTOR_THEME
4,XRT,C02_US_SECTOR_THEME
