signal_date,min_dynamic_size,max_dynamic_size,n_dynamic,n_defensive
2005-09-30,8,9,58,6
2005-10-31,8,9,58,6
2005-11-30,8,9,60,6
2005-12-30,8,9,60,6
2006-01-31,8,9,60,6
2006-02-28,8,9,60,6
2006-03-31,8,9,60,6
2006-04-28,8,9,60,6
2006-05-31,8,9,60,6
2006-06-30,8,9,61,6
2006-07-31,8,9,62,6
2006-08-31,8,9,62,6
2006-09-29,8,9,62,6
2006-10-31,9,10,64,6
2006-11-30,9,10,64,6
2006-12-29,9,10,66,6
2007-01-31,9,10,69,8
2007-02-28,10,11,72,8
2007-03-30,10,11,73,9
2007-04-30,10,11,73,11
2007-05-31,10,11,73,12
2007-06-29,10,11,73,12
2007-07-31,10,11,73,12
2007-08-31,10,11,74,12
2007-09-28,11,11,77,13
2007-10-31,11,11,77,13
2007-11-30,11,12,78,13
2007-12-31,11,12,79,15
2008-01-31,11,12,79,16
2008-02-29,11,12,79,16
2008-03-31,11,12,81,16
2008-04-30,11,12,81,16
2008-05-30,11,12,81,16
2008-06-30,11,12,81,16
2008-07-31,11,12,82,16
2008-08-29,11,12,83,16
2008-09-30,11,12,83,16
2008-10-31,12,12,84,16
2008-11-28,12,13,88,16
2008-12-31,12,13,89,16
2009-01-30,12,13,90,16
2009-02-27,13,14,92,16
2009-03-31,13,14,92,16
2009-04-30,13,14,93,16
2009-05-29,13,14,93,16
2009-06-30,13,14,93,16
2009-07-31,13,14,93,16
2009-08-31,13,14,93,16
2009-09-30,13,14,93,16
2009-10-30,13,14,93,16
2009-11-30,13,14,93,20
2009-12-31,13,14,93,20
2010-01-29,13,14,93,21
2010-02-26,13,14,93,21
2010-03-31,13,14,93,21
2010-04-30,13,14,93,21
2010-05-28,13,14,93,21
2010-06-30,13,14,93,21
2010-07-30,13,14,96,21
2010-08-31,13,14,96,22
2010-09-30,14,15,99,22
2010-10-29,14,15,99,22
2010-11-30,14,15,99,22
2010-12-31,14,15,99,22
2011-01-31,14,15,103,22
2011-02-28,14,15,104,22
2011-03-31,14,15,104,23
2011-04-29,14,15,104,23
2011-05-31,15,16,106,23
2011-06-30,15,16,106,23
2011-07-29,15,16,107,23
2011-08-31,15,16,107,23
2011-09-30,15,16,107,23
2011-10-31,15,16,108,23
2011-11-30,15,16,110,23
2011-12-30,15,16,110,23
2012-01-31,15,16,111,23
2012-02-29,15,16,111,23
2012-03-30,15,16,111,23
2012-04-30,15,16,111,24
2012-05-31,15,16,111,24
2012-06-29,16,16,112,24
2012-07-31,16,17,113,24
2012-08-31,16,17,113,24
2012-09-28,16,17,113,24
2012-10-31,16,17,114,24
2012-11-30,16,17,114,24
2012-12-31,16,17,114,24
2013-01-31,16,17,114,24
2013-02-28,16,17,114,24
2013-03-28,16,17,114,24
2013-04-30,16,17,114,24
2013-05-31,16,17,114,24
2013-06-28,16,17,116,25
2013-07-31,16,17,116,25
2013-08-30,16,17,116,25
2013-09-30,16,17,116,25
2013-10-31,16,17,116,25
2013-11-29,16,17,116,25
2013-12-31,16,17,117,25
2014-01-31,16,17,117,25
2014-02-28,16,17,117,25
2014-03-31,16,17,118,25
2014-04-30,17,17,119,25
2014-05-30,17,17,119,25
2014-06-30,17,17,119,25
2014-07-31,17,18,120,25
2014-08-29,17,18,120,25
2014-09-30,17,18,120,25
2014-10-31,17,18,120,25
2014-11-28,17,18,120,25
2014-12-31,17,18,120,25
2015-01-30,17,18,120,25
2015-02-27,17,18,121,25
2015-03-31,17,18,121,25
2015-04-30,17,18,121,25
2015-05-29,17,18,121,25
2015-06-30,17,18,122,25
2015-07-31,17,18,123,25
2015-08-31,17,18,123,25
2015-09-30,17,18,123,25
2015-10-30,17,18,123,25
2015-11-30,17,18,123,25
2015-12-31,17,18,123,25
2016-01-29,17,18,123,25
2016-02-29,17,18,123,25
2016-03-31,17,18,123,25
2016-04-29,17,18,123,25
2016-05-31,17,18,123,25
2016-06-30,17,18,123,25
2016-07-29,17,18,123,25
2016-08-31,17,18,123,25
2016-09-30,17,18,123,25
2016-10-31,17,18,123,25
2016-11-30,17,18,123,25
2016-12-30,17,18,123,25
2017-01-31,17,18,123,25
2017-02-28,17,18,123,25
2017-03-31,17,18,123,25
2017-04-28,17,18,123,25
2017-05-31,17,18,123,25
2017-06-30,17,18,123,25
2017-07-31,17,18,123,25
2017-08-31,17,18,123,25
2017-09-29,17,18,123,25
2017-10-31,17,18,123,25
2017-11-30,17,18,123,25
2017-12-29,17,18,123,25
2018-01-31,17,18,123,25
2018-02-28,17,18,123,25
2018-03-29,17,18,123,25
2018-04-30,17,18,123,25
2018-05-31,17,18,123,25
2018-06-29,17,18,123,25
2018-07-31,17,18,123,25
2018-08-31,17,18,123,25
2018-09-28,17,18,123,25
2018-10-31,17,18,123,25
2018-11-30,17,18,123,25
2018-12-31,17,18,123,25
2019-01-31,17,18,123,25
2019-02-28,17,18,123,25
2019-03-29,17,18,123,25
2019-04-30,17,18,123,25
2019-05-31,17,18,123,25
2019-06-28,17,18,123,25
2019-07-31,17,18,123,25
2019-08-30,17,18,123,25
2019-09-30,17,18,123,25
2019-10-31,17,18,123,25
2019-11-29,17,18,123,25
2019-12-31,17,18,123,25
2020-01-31,17,18,123,25
2020-02-28,17,18,123,25
2020-03-31,17,18,123,25
2020-04-30,17,18,123,25
2020-05-29,17,18,123,25
2020-06-30,17,18,123,25
2020-07-31,17,18,123,25
2020-08-31,17,18,123,25
2020-09-30,17,18,123,25
2020-10-30,17,18,123,25
2020-11-30,17,18,123,25
2020-12-31,17,18,123,25
2021-01-29,17,18,123,25
2021-02-26,17,18,123,25
2021-03-31,17,18,123,25
2021-04-30,17,18,123,25
2021-05-28,17,18,123,25
2021-06-30,17,18,123,25
2021-07-30,17,18,123,25
2021-08-31,17,18,123,25
2021-09-30,17,18,123,25
2021-10-29,17,18,123,25
2021-11-30,17,18,123,25
2021-12-31,17,18,123,25
2022-01-31,17,18,123,25
2022-02-28,17,18,123,25
2022-03-31,17,18,123,25
2022-04-29,17,18,123,25
2022-05-31,17,18,123,25
2022-06-30,17,18,123,25
2022-07-29,17,18,123,25
2022-08-31,17,18,123,25
2022-09-30,17,18,123,25
2022-10-31,17,18,123,25
2022-11-30,17,18,123,25
2022-12-30,17,18,123,25
2023-01-31,17,18,123,25
2023-02-28,17,18,123,25
2023-03-31,17,18,123,25
2023-04-28,17,18,123,25
2023-05-31,17,18,123,25
2023-06-30,17,18,123,25
2023-07-31,17,18,123,25
2023-08-31,17,18,123,25
