basket,ticker
0,ACWI
0,BKLN
0,DGS
0,EEM
0,EMB
0,EPP
0,EWK
0,GDXJ
0,GSG
0,IVV
0,KBE
0,KWEB
0,LQD
0,QQQ
0,RWX
0,SCHE
0,SOXX
0,SPY
0,TLT
0,UNG
0,VEU
0,VTI
0,XBI
0,XRT
1,ACWI
1,AGG
1,ANGL
1,DGRO
1,EIDO
1,EPOL
1,EWI
1,EWJ
1,EWS
1,GDX
1,GSG
1,IBB
1,IEF
1,IEMG
1,IHI
1,KBE
1,MCHI
1,RWX
1,SCHB
1,SCHD
1,SHV
1,USL
1,VTI
1,XLI
2,ARGT
2,BND
2,BNDX
2,BNO
2,DBC
2,DBO
2,EFA
2,EIS
2,EWP
2,EWT
2,EZA
2,GLD
2,HACK
2,IHI
2,ITA
2,MTUM
2,QUAL
2,SCHB
2,SCHE
2,SCHX
2,TLT
2,VGIT
2,VGK
2,XLU
3,ACWI
3,ANGL
3,BNDX
3,COMT
3,DGRO
3,EPOL
3,EWY
3,EWZ
3,GDXJ
3,IBB
3,KRE
3,MCHI
3,PPA
3,QQQ
3,RWX
3,SPLV
3,TUR
3,USL
3,VCIT
3,VEU
3,VGK
3,VGLT
3,VUG
3,XLU
4,ACWI
4,ANGL
4,BIL
4,BNO
4,DBA
4,EPHE
4,EWC
4,EWK
4,EWT
4,EWZ
4,FXI
4,HACK
4,ICLN
4,IEFA
4,IYR
4,QUAL
4,RSP
4,SCHX
4,SHV
4,VCSH
4,VNQ
4,VTV
4,XLF
4,XRT
5,ASHR
5,COMT
5,DBO
5,DGS
5,EIS
5,EWA
5,EWM
5,EWN
5,EWO
5,FXI
5,GDXJ
5,IGV
5,IJR
5,IWN
5,JNK
5,MBB
5,RWX
5,SCHP
5,SPLV
5,TAN
5,VB
5,VGSH
5,XBI
5,XLB
6,DBB
6,DBC
6,EFA
6,EPI
6,EWI
6,EWP
6,EWQ
6,FDN
6,FXI
6,HDV
6,IGV
6,IVV
6,IWD
6,KWEB
6,PPA
6,QUAL
6,RWO
6,SCHP
6,TLT
6,TUR
6,VCIT
6,VCSH
6,WOOD
6,XLV
7,ANGL
7,CORN
7,DIA
7,EEM
7,EIS
7,EPOL
7,EZA
7,GDXJ
7,IAU
7,IEFA
7,IEMG
7,IWF
7,IWN
7,KBE
7,MBB
7,PPA
7,RSP
7,SHV
7,SHY
7,TUR
7,URA
7,VEU
7,XLI
7,XLV
8,CORN
8,CPER
8,DBO
8,EDV
8,EMB
8,ENZL
8,EPP
8,EWG
8,EWN
8,HYG
8,IEMG
8,IVV
8,KWEB
8,PPA
8,QUAL
8,RWX
8,SCHB
8,SCHE
8,THD
8,VGIT
8,VTV
8,XLB
8,XLK
8,XLY
9,ASHR
9,BNO
9,DBO
9,EMB
9,ENZL
9,EPHE
9,EWJ
9,EWQ
9,EWS
9,FDN
9,GDXJ
9,IBB
9,IEMG
9,IWF
9,LQD
9,MBB
9,QQQ
9,RSP
9,SCHB
9,TIP
9,USO
9,VEA
9,XLE
9,XLF
10,ANGL
10,ASHR
10,BND
10,COMT
10,DBA
10,EMB
10,EPI
10,EWC
10,EWG
10,EWL
10,EWS
10,EWU
10,GSG
10,INDA
10,IWM
10,RSP
10,SOXX
10,VCSH
10,VNQ
10,VTV
10,VUG
10,XLI
10,XLK
10,XRT
11,DBO
11,DGRO
11,EWH
11,EWI
11,EWJ
11,EWM
11,ICLN
11,IEMG
11,IHI
11,INDA
11,IYR
11,KWEB
11,MUB
11,PALL
11,PPA
11,RWO
11,SCHB
11,SCHP
11,SCHX
11,TIP
11,VB
11,VEA
11,VGSH
11,XLY
12,ACWI
12,BND
12,DBA
12,DBB
12,EDV
12,EMB
12,EWG
12,EWN
12,EWS
12,EWT
12,FXI
12,ICLN
12,INDA
12,PPLT
12,RSP
12,SHV
12,SPLV
12,URA
12,VEU
12,VTV
12,VUG
12,XBI
12,XLE
12,XRT
13,AAXJ
13,BIL
13,BND
13,DGS
13,EIDO
13,ENZL
13,EWI
13,EWL
13,EWM
13,GDX
13,GSG
13,IBB
13,IVV
13,IYR
13,MBB
13,MTUM
13,QUAL
13,SPLV
13,UNG
13,VEU
13,VGSH
13,XLB
13,XLV
13,XLY
14,AAXJ
14,BND
14,DBA
14,DBB
14,DBO
14,EIS
14,EWC
14,EWL
14,EWP
14,EWT
14,EWZ
14,FDN
14,FXI
14,HDV
14,HYG
14,IHI
14,IWD
14,KRE
14,QUAL
14,RWO
14,SCHB
14,TAN
14,TLT
14,VGIT
15,BND
15,COMT
15,DBC
15,ENZL
15,EWG
15,EWT
15,EWY
15,EWZ
15,GDX
15,HACK
15,IYT
15,KBE
15,RSP
15,SCHD
15,SCHP
15,SHV
15,SPY
15,THD
15,UNG
15,VCSH
15,VEU
15,VGK
15,VO
15,XBI
16,COMT
16,DBO
16,EPOL
16,EWH
16,EWS
16,EWU
16,FXI
16,IAU
16,IGV
16,ITA
16,IVV
16,IWD
16,MBB
16,MCHI
16,MUB
16,PALL
16,SCHD
16,SCHE
16,SCHP
16,VCIT
16,VGK
16,VO
16,XBI
16,XLY
17,ACWI
17,BNO
17,CORN
17,DBC
17,DGRO
17,EDV
17,EIRL
17,EMB
17,EWN
17,HDV
17,IEFA
17,INDA
17,ITA
17,IWM
17,IYR
17,IYT
17,JNK
17,KWEB
17,QUAL
17,SCHE
17,VCIT
17,VWO
17,XLB
17,XLF
18,ARGT
18,DBA
18,DEM
18,DGS
18,EPOL
18,EWA
18,EWI
18,EWO
18,EWS
18,GDX
18,HACK
18,HYG
18,IBB
18,IEF
18,IJH
18,LQD
