ticker_index,recovered_ticker,observations
0,AAXJ,32
1,ACWI,11
2,AGG,12
4,ARGT,1149
5,ASHR,92
8,BND,13
9,BNDX,6
10,BNO,1642
11,COMT,150
12,CORN,314
13,CPER,644
14,DBA,108
15,DBB,124
16,DBC,103
17,DBO,1972
18,DEM,67
19,DGRO,26
20,DGS,1
21,DIA,37
22,EDV,622
23,EEM,11
25,EIDO,482
26,EIRL,4
27,EIS,148
29,ENZL,4
30,EPHE,299
31,EPI,82
32,EPOL,322
34,EWA,47
35,EWC,43
36,EWD,211
37,EWG,53
38,EWH,28
39,EWI,186
40,EWJ,1
43,EWM,6
44,EWN,170
45,EWO,123
46,EWP,47
47,EWQ,6
49,EWT,108
50,EWU,46
51,EWY,175
52,EWZ,1177
53,EZA,1251
54,FDN,1963
55,FXI,386
56,GDX,2140
57,GDXJ,2040
58,GLD,209
59,GSG,225
60,HACK,840
61,HDV,8
63,IAU,225
64,IBB,508
65,ICLN,341
66,IEF,2
67,IEFA,3
68,IEI,7
69,IEMG,30
70,IGV,1616
71,IHI,275
72,IJH,309
73,IJR,662
74,INDA,53
75,ITA,366
76,IVV,33
77,IWD,10
78,IWF,513
79,IWM,598
80,IWN,392
81,IYR,47
82,IYT,559
84,KBE,714
85,KRE,1285
86,KWEB,1735
88,MBB,2
89,MCHI,413
90,MDY,240
91,MTUM,534
92,MUB,2
93,PALL,1998
95,PPA,293
96,PPLT,1016
97,QQQ,755
98,QUAL,138
99,RSP,114
100,RWO,5
102,SCHB,141
103,SCHD,82
104,SCHE,35
105,SCHP,6
106,SCHX,112
109,SLV,478
110,SMH,2770
111,SOXX,2642
113,SPY,43
114,TAN,950
115,THD,151
116,TIP,4
117,TLT,49
118,TUR,1132
119,UNG,2000
120,URA,1175
121,USL,1407
122,USO,1065
123,VB,495
127,VEU,14
128,VGIT,2
129,VGK,1
130,VGLT,23
131,VGSH,2
132,VNQ,75
133,VO,62
134,VTI,45
135,VTV,9
136,VUG,633
137,VWO,3
138,WOOD,67
139,XBI,945
140,XLB,194
141,XLE,634
142,XLF,241
143,XLI,279
144,XLK,1579
146,XLU,32
147,XLV,69
148,XLY,489
149,XRT,606
