ticker_index,ticker
0,AAXJ
1,ACWI
2,AGG
3,ANGL
4,ARGT
5,ASHR
6,BIL
7,BKLN
8,BND
9,BNDX
10,BNO
11,COMT
12,CORN
13,CPER
14,DBA
15,DBB
16,DBC
17,DBO
18,DEM
19,DGRO
20,DGS
21,DIA
22,EDV
23,EEM
24,EFA
25,EIDO
26,EIRL
27,EIS
28,EMB
29,ENZL
30,EPHE
31,EPI
32,EPOL
33,EPP
34,EWA
35,EWC
36,EWD
37,EWG
38,EWH
39,EWI
40,EWJ
41,EWK
42,EWL
43,EWM
44,EWN
45,EWO
46,EWP
47,EWQ
48,EWS
49,EWT
50,EWU
51,EWY
52,EWZ
53,EZA
54,FDN
55,FXI
56,GDX
57,GDXJ
58,GLD
59,GSG
60,HACK
61,HDV
62,HYG
63,IAU
64,IBB
65,ICLN
66,IEF
67,IEFA
68,IEI
69,IEMG
70,IGV
71,IHI
72,IJH
73,IJR
74,INDA
75,ITA
76,IVV
77,IWD
78,IWF
79,IWM
80,IWN
81,IYR
82,IYT
83,JNK
84,KBE
85,KRE
86,KWEB
87,LQD
88,MBB
89,MCHI
90,MDY
91,MTUM
92,MUB
93,PALL
94,PIN
95,PPA
96,PPLT
97,QQQ
98,QUAL
99,RSP
100,RWO
101,RWX
102,SCHB
103,SCHD
104,SCHE
105,SCHP
106,SCHX
107,SHV
108,SHY
109,SLV
110,SMH
111,SOXX
112,SPLV
113,SPY
114,TAN
115,THD
116,TIP
117,TLT
118,TUR
119,UNG
120,URA
121,USL
122,USO
123,VB
124,VCIT
125,VCSH
126,VEA
127,VEU
128,VGIT
129,VGK
130,VGLT
131,VGSH
132,VNQ
133,VO
134,VTI
135,VTV
136,VUG
137,VWO
138,WOOD
139,XBI
140,XLB
141,XLE
142,XLF
143,XLI
144,XLK
145,XLP
146,XLU
147,XLV
148,XLY
149,XRT
