signal_date,entry_date,exit_date,top1,top2,margin,top1_weight_v2,top2_weight_v2
2017-01-31,2017-02-01,2017-03-01,EWZ,PALL,0.006711409395973145,0.75,0.25
2017-02-28,2017-03-01,2017-04-03,HACK,GDXJ,0.006711409395973145,0.75,0.25
2017-03-31,2017-04-03,2017-05-01,EZA,DEM,0.006711409395973145,0.75,0.25
2017-04-28,2017-05-01,2017-06-01,BNO,KBE,0.006711409395973145,0.75,0.25
2017-05-31,2017-06-01,2017-07-03,BNO,DBO,0.006711409395973145,0.75,0.25
2017-06-30,2017-07-03,2017-08-01,SMH,SOXX,0.006711409395973145,0.75,0.25
2017-07-31,2017-08-01,2017-09-01,SOXX,SMH,0.006711409395973145,0.75,0.25
2017-08-31,2017-09-01,2017-10-02,KWEB,KBE,0.006711409395973145,0.75,0.25
2017-09-29,2017-10-02,2017-11-01,EZA,GDX,0.006711409395973145,0.75,0.25
2017-10-31,2017-11-01,2017-12-01,CPER,GDXJ,0.006711409395973145,0.75,0.25
2017-11-30,2017-12-01,2018-01-02,EDV,MCHI,0.006711409395973145,0.75,0.25
2017-12-29,2018-01-02,2018-02-01,IGV,URA,0.006711409395973145,0.75,0.25
2018-01-31,2018-02-01,2018-03-01,SOXX,IJR,0.006711409395973145,0.75,0.25
2018-02-28,2018-03-01,2018-04-02,URA,KRE,0.006711409395973145,0.75,0.25
2018-03-29,2018-04-02,2018-05-01,XBI,QQQ,0.006711409395973145,0.75,0.25
2018-04-30,2018-05-01,2018-06-01,XLB,PPA,0.006711409395973145,0.75,0.25
2018-05-31,2018-06-01,2018-07-02,USL,DBO,0.006711409395973145,0.75,0.25
2018-06-29,2018-07-02,2018-08-01,SOXX,SMH,0.006711409395973145,0.75,0.25
2018-07-31,2018-08-01,2018-09-04,FDN,IBB,0.006711409395973145,0.75,0.25
2018-08-31,2018-09-04,2018-10-01,MCHI,IBB,0.006711409395973145,0.75,0.25
2018-09-28,2018-10-01,2018-11-01,EWI,IGV,0.006711409395973145,0.75,0.25
2018-10-31,2018-11-01,2018-12-03,GDXJ,GDX,0.006711409395973145,0.75,0.25
2018-11-30,2018-12-03,2019-01-02,BNO,DBO,0.006711409395973145,0.75,0.25
2018-12-31,2019-01-02,2019-02-01,PALL,UNG,0.006711409395973145,0.75,0.25
2019-01-31,2019-02-01,2019-03-01,IBB,IGV,0.006711409395973145,0.75,0.25
2019-02-28,2019-03-01,2019-04-01,FDN,XLY,0.006711409395973145,0.75,0.25
2019-03-29,2019-04-01,2019-05-01,PALL,UNG,0.006711409395973145,0.75,0.25
2019-04-30,2019-05-01,2019-06-03,ARGT,IJR,0.006711409395973145,0.75,0.25
2019-05-31,2019-06-03,2019-07-01,BNO,DBO,0.006711409395973145,0.75,0.25
2019-06-28,2019-07-01,2019-08-01,PALL,FDN,0.006711409395973145,0.75,0.25
2019-07-31,2019-08-01,2019-09-03,HACK,IGV,0.006711409395973145,0.75,0.25
2019-08-30,2019-09-03,2019-10-01,EDV,IGV,0.006711409395973145,0.75,0.25
2019-09-30,2019-10-01,2019-11-01,GDX,GDXJ,0.006711409395973145,0.75,0.25
2019-10-31,2019-11-01,2019-12-02,SOXX,SMH,0.006711409395973145,0.75,0.25
2019-11-29,2019-12-02,2020-01-02,SOXX,UNG,0.006711409395973145,0.75,0.25
2019-12-31,2020-01-02,2020-02-03,SOXX,UNG,0.006711409395973145,0.75,0.25
2020-01-31,2020-02-03,2020-03-02,SOXX,UNG,0.006711409395973145,0.75,0.25
2020-02-28,2020-03-02,2020-04-01,EZA,ARGT,0.006711409395973145,0.75,0.25
2020-03-31,2020-04-01,2020-05-01,GDX,USL,0.006711409395973145,0.75,0.25
2020-04-30,2020-05-01,2020-06-01,THD,GDX,0.006711409395973145,0.75,0.25
2020-05-29,2020-06-01,2020-07-01,GDX,EPHE,0.006711409395973145,0.75,0.25
2020-06-30,2020-07-01,2020-08-03,IJR,IWN,0.006711409395973145,0.75,0.25
2020-07-31,2020-08-03,2020-09-01,URA,USL,0.006711409395973145,0.75,0.25
