variant,year,target,label_exit_column,train_dates,train_rows,test_dates,test_rows
MULTI_45_35_20,2017,target_multi_45_35_20,exit_date_63,139,16418,12,1776
MULTI_45_35_20,2018,target_multi_45_35_20,exit_date_63,151,18194,12,1776
MULTI_45_35_20,2019,target_multi_45_35_20,exit_date_63,163,19970,12,1776
MULTI_45_35_20,2020,target_multi_45_35_20,exit_date_63,176,21894,12,1776
MULTI_45_35_20,2021,target_multi_45_35_20,exit_date_63,188,23670,12,1776
MULTI_45_35_20,2022,target_multi_45_35_20,exit_date_63,200,25446,12,1776
MULTI_45_35_20,2023,target_multi_45_35_20,exit_date_63,211,27074,12,1776
MULTI_45_35_20,2024,target_multi_45_35_20,exit_date_63,223,28850,12,1776
MULTI_45_35_20,2025,target_multi_45_35_20,exit_date_63,236,30774,12,1776
MULTI_45_35_20,2026,target_multi_45_35_20,exit_date_63,248,32550,7,1036
CONSENSUS_MULTI,2017,target_consensus,exit_date_63,139,16418,12,1776
CONSENSUS_MULTI,2018,target_consensus,exit_date_63,151,18194,12,1776
CONSENSUS_MULTI,2019,target_consensus,exit_date_63,163,19970,12,1776
CONSENSUS_MULTI,2020,target_consensus,exit_date_63,176,21894,12,1776
CONSENSUS_MULTI,2021,target_consensus,exit_date_63,188,23670,12,1776
CONSENSUS_MULTI,2022,target_consensus,exit_date_63,200,25446,12,1776
CONSENSUS_MULTI,2023,target_consensus,exit_date_63,211,27074,12,1776
CONSENSUS_MULTI,2024,target_consensus,exit_date_63,223,28850,12,1776
CONSENSUS_MULTI,2025,target_consensus,exit_date_63,236,30774,12,1776
CONSENSUS_MULTI,2026,target_consensus,exit_date_63,248,32550,7,1036
DOWNSIDE_UTILITY,2017,target_downside_utility,exit_date_63,139,16418,12,1776
DOWNSIDE_UTILITY,2018,target_downside_utility,exit_date_63,151,18194,12,1776
DOWNSIDE_UTILITY,2019,target_downside_utility,exit_date_63,163,19970,12,1776
DOWNSIDE_UTILITY,2020,target_downside_utility,exit_date_63,176,21894,12,1776
DOWNSIDE_UTILITY,2021,target_downside_utility,exit_date_63,188,23670,12,1776
DOWNSIDE_UTILITY,2022,target_downside_utility,exit_date_63,200,25446,12,1776
DOWNSIDE_UTILITY,2023,target_downside_utility,exit_date_63,211,27074,12,1776
DOWNSIDE_UTILITY,2024,target_downside_utility,exit_date_63,223,28850,12,1776
DOWNSIDE_UTILITY,2025,target_downside_utility,exit_date_63,236,30774,12,1776
DOWNSIDE_UTILITY,2026,target_downside_utility,exit_date_63,248,32550,7,1036
BASELINE_21,2017,target_21,exit_date_21,141,16714,12,1776
BASELINE_21,2018,target_21,exit_date_21,153,18490,12,1776
BASELINE_21,2019,target_21,exit_date_21,165,20266,12,1776
BASELINE_21,2020,target_21,exit_date_21,177,22042,12,1776
BASELINE_21,2021,target_21,exit_date_21,190,23966,12,1776
BASELINE_21,2022,target_21,exit_date_21,202,25742,12,1776
BASELINE_21,2023,target_21,exit_date_21,213,27370,12,1776
BASELINE_21,2024,target_21,exit_date_21,225,29146,12,1776
BASELINE_21,2025,target_21,exit_date_21,237,30922,12,1776
BASELINE_21,2026,target_21,exit_date_21,250,32846,7,1036
TARGET_42,2017,target_42,exit_date_42,140,16566,12,1776
TARGET_42,2018,target_42,exit_date_42,152,18342,12,1776
TARGET_42,2019,target_42,exit_date_42,164,20118,12,1776
TARGET_42,2020,target_42,exit_date_42,176,21894,12,1776
TARGET_42,2021,target_42,exit_date_42,188,23670,12,1776
TARGET_42,2022,target_42,exit_date_42,201,25594,12,1776
TARGET_42,2023,target_42,exit_date_42,212,27222,12,1776
TARGET_42,2024,target_42,exit_date_42,224,28998,12,1776
TARGET_42,2025,target_42,exit_date_42,236,30774,12,1776
TARGET_42,2026,target_42,exit_date_42,248,32550,7,1036
