scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2017-01-01,2018-01-01,139,16418,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2018-01-01,2019-01-01,151,18194,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2019-01-01,2020-01-01,163,19970,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2020-01-01,2021-01-01,176,21894,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2021-01-01,2022-01-01,188,23670,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2022-01-01,2023-01-01,200,25446,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2023-01-01,2024-01-01,211,27074,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2024-01-01,2025-01-01,223,28850,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2025-01-01,2026-01-01,236,30774,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,CONSENSUS_MULTI,2026-01-01,2027-01-01,248,32550,148,0,5,740
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2017-01-01,2018-01-01,141,16714,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2018-01-01,2019-01-01,153,18490,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2019-01-01,2020-01-01,165,20266,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2020-01-01,2021-01-01,177,22042,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2021-01-01,2022-01-01,190,23966,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2022-01-01,2023-01-01,202,25742,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2023-01-01,2024-01-01,213,27370,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2024-01-01,2025-01-01,225,29146,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2025-01-01,2026-01-01,237,30922,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,BASELINE_21,2026-01-01,2027-01-01,250,32846,148,0,5,740
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2017-01-01,2018-01-01,139,16418,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2018-01-01,2019-01-01,151,18194,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2019-01-01,2020-01-01,163,19970,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2020-01-01,2021-01-01,176,21894,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2021-01-01,2022-01-01,188,23670,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2022-01-01,2023-01-01,200,25446,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2023-01-01,2024-01-01,211,27074,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2024-01-01,2025-01-01,223,28850,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2025-01-01,2026-01-01,236,30774,148,0,12,1776
CONTROL_ANNUAL_EXPANDING,MULTI_45_35_20,2026-01-01,2027-01-01,248,32550,148,0,5,740
