scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
CUTOFF_DECEMBER,CONSENSUS_MULTI,2016-12-01,2017-12-01,138,16270,148,0,11,1628
CUTOFF_DECEMBER,CONSENSUS_MULTI,2017-12-01,2018-12-01,150,18046,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2018-12-01,2019-12-01,162,19822,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2019-12-01,2020-12-01,174,21598,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2020-12-01,2021-12-01,186,23374,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2021-12-01,2022-12-01,198,25150,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2022-12-01,2023-12-01,210,26926,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2023-12-01,2024-12-01,222,28702,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2024-12-01,2025-12-01,234,30478,148,0,12,1776
CUTOFF_DECEMBER,CONSENSUS_MULTI,2025-12-01,2026-12-01,246,32254,148,0,6,888
CUTOFF_DECEMBER,MULTI_45_35_20,2016-12-01,2017-12-01,138,16270,148,0,11,1628
CUTOFF_DECEMBER,MULTI_45_35_20,2017-12-01,2018-12-01,150,18046,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2018-12-01,2019-12-01,162,19822,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2019-12-01,2020-12-01,174,21598,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2020-12-01,2021-12-01,186,23374,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2021-12-01,2022-12-01,198,25150,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2022-12-01,2023-12-01,210,26926,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2023-12-01,2024-12-01,222,28702,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2024-12-01,2025-12-01,234,30478,148,0,12,1776
CUTOFF_DECEMBER,MULTI_45_35_20,2025-12-01,2026-12-01,246,32254,148,0,6,888
CUTOFF_DECEMBER,BASELINE_21,2016-12-01,2017-12-01,140,16566,148,0,11,1628
CUTOFF_DECEMBER,BASELINE_21,2017-12-01,2018-12-01,152,18342,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2018-12-01,2019-12-01,164,20118,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2019-12-01,2020-12-01,176,21894,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2020-12-01,2021-12-01,188,23670,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2021-12-01,2022-12-01,200,25446,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2022-12-01,2023-12-01,212,27222,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2023-12-01,2024-12-01,224,28998,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2024-12-01,2025-12-01,236,30774,148,0,12,1776
CUTOFF_DECEMBER,BASELINE_21,2025-12-01,2026-12-01,248,32550,148,0,6,888
