scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2016-02-01,2017-02-01,128,14790,148,0,1,148
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2017-02-01,2018-02-01,140,16566,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2018-02-01,2019-02-01,152,18342,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2019-02-01,2020-02-01,164,20118,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2020-02-01,2021-02-01,176,21894,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2021-02-01,2022-02-01,188,23670,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2022-02-01,2023-02-01,200,25446,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2023-02-01,2024-02-01,212,27222,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2024-02-01,2025-02-01,224,28998,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2025-02-01,2026-02-01,236,30774,148,0,12,1776
CUTOFF_FEBRUARY,CONSENSUS_MULTI,2026-02-01,2027-02-01,248,32550,148,0,4,592
CUTOFF_FEBRUARY,MULTI_45_35_20,2016-02-01,2017-02-01,128,14790,148,0,1,148
CUTOFF_FEBRUARY,MULTI_45_35_20,2017-02-01,2018-02-01,140,16566,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2018-02-01,2019-02-01,152,18342,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2019-02-01,2020-02-01,164,20118,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2020-02-01,2021-02-01,176,21894,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2021-02-01,2022-02-01,188,23670,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2022-02-01,2023-02-01,200,25446,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2023-02-01,2024-02-01,212,27222,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2024-02-01,2025-02-01,224,28998,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2025-02-01,2026-02-01,236,30774,148,0,12,1776
CUTOFF_FEBRUARY,MULTI_45_35_20,2026-02-01,2027-02-01,248,32550,148,0,4,592
CUTOFF_FEBRUARY,BASELINE_21,2016-02-01,2017-02-01,130,15086,148,0,1,148
CUTOFF_FEBRUARY,BASELINE_21,2017-02-01,2018-02-01,142,16862,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2018-02-01,2019-02-01,154,18638,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2019-02-01,2020-02-01,166,20414,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2020-02-01,2021-02-01,178,22190,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2021-02-01,2022-02-01,190,23966,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2022-02-01,2023-02-01,202,25742,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2023-02-01,2024-02-01,214,27518,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2024-02-01,2025-02-01,226,29294,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2025-02-01,2026-02-01,238,31070,148,0,12,1776
CUTOFF_FEBRUARY,BASELINE_21,2026-02-01,2027-02-01,250,32846,148,0,4,592
