scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
QUARTERLY_REFIT,CONSENSUS_MULTI,2017-01-01,2017-04-01,139,16418,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2017-04-01,2017-07-01,142,16862,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2017-07-01,2017-10-01,145,17306,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2017-10-01,2018-01-01,148,17750,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2018-01-01,2018-04-01,151,18194,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2018-04-01,2018-07-01,154,18638,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2018-07-01,2018-10-01,158,19230,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2018-10-01,2019-01-01,160,19526,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2019-01-01,2019-04-01,163,19970,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2019-04-01,2019-07-01,166,20414,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2019-07-01,2019-10-01,169,20858,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2019-10-01,2020-01-01,173,21450,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2020-01-01,2020-04-01,176,21894,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2020-04-01,2020-07-01,178,22190,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2020-07-01,2020-10-01,181,22634,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2020-10-01,2021-01-01,185,23226,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2021-01-01,2021-04-01,188,23670,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2021-04-01,2021-07-01,190,23966,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2021-07-01,2021-10-01,193,24410,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2021-10-01,2022-01-01,197,25002,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2022-01-01,2022-04-01,200,25446,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2022-04-01,2022-07-01,202,25742,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2022-07-01,2022-10-01,205,26186,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2022-10-01,2023-01-01,209,26778,148,0,3,444
QUARTERLY_REFIT,CONSENSUS_MULTI,2023-01-01,2023-04-01,211,27074,148,0,3,444
