scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
ROLLING_10Y,MULTI_45_35_20,2017-01-01,2018-01-01,116,14798,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2018-01-01,2019-01-01,116,15495,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2019-01-01,2020-01-01,116,16007,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2020-01-01,2021-01-01,117,16616,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2021-01-01,2022-01-01,117,16912,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2022-01-01,2023-01-01,117,17096,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2023-01-01,2024-01-01,116,17070,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2024-01-01,2025-01-01,116,17141,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2025-01-01,2026-01-01,117,17316,148,0,12,1776
ROLLING_10Y,MULTI_45_35_20,2026-01-01,2027-01-01,117,17316,148,0,5,740
ROLLING_10Y,CONSENSUS_MULTI,2017-01-01,2018-01-01,116,14798,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2018-01-01,2019-01-01,116,15495,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2019-01-01,2020-01-01,116,16007,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2020-01-01,2021-01-01,117,16616,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2021-01-01,2022-01-01,117,16912,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2022-01-01,2023-01-01,117,17096,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2023-01-01,2024-01-01,116,17070,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2024-01-01,2025-01-01,116,17141,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2025-01-01,2026-01-01,117,17316,148,0,12,1776
ROLLING_10Y,CONSENSUS_MULTI,2026-01-01,2027-01-01,117,17316,148,0,5,740
ROLLING_10Y,BASELINE_21,2017-01-01,2018-01-01,118,15094,148,0,12,1776
ROLLING_10Y,BASELINE_21,2018-01-01,2019-01-01,118,15791,148,0,12,1776
ROLLING_10Y,BASELINE_21,2019-01-01,2020-01-01,118,16303,148,0,12,1776
ROLLING_10Y,BASELINE_21,2020-01-01,2021-01-01,118,16764,148,0,12,1776
ROLLING_10Y,BASELINE_21,2021-01-01,2022-01-01,119,17208,148,0,12,1776
ROLLING_10Y,BASELINE_21,2022-01-01,2023-01-01,119,17392,148,0,12,1776
ROLLING_10Y,BASELINE_21,2023-01-01,2024-01-01,118,17366,148,0,12,1776
ROLLING_10Y,BASELINE_21,2024-01-01,2025-01-01,118,17437,148,0,12,1776
ROLLING_10Y,BASELINE_21,2025-01-01,2026-01-01,118,17464,148,0,12,1776
ROLLING_10Y,BASELINE_21,2026-01-01,2027-01-01,119,17612,148,0,5,740
